id,smiles,name,chebi_id,n_atoms
860,C,methane,CHEBI:16183,1
2007,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS,CoA,CHEBI:57287,48
7419,C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,S-adenosyl-L-methionine,CHEBI:59789,27
7732,N,NH4(+),CHEBI:28938,1
7904,NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1,NADH,CHEBI:57945,44
7907,NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1,NADPH,CHEBI:57783,48
7959,NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1,NAD(+),CHEBI:57540,44
7961,NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1,NADP(+),CHEBI:58349,48
8617,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,AMP,CHEBI:456215,23
8650,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O,ADP,CHEBI:456216,27
8679,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,ATP,CHEBI:30616,31
8691,Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O,S-adenosyl-L-homocysteine,CHEBI:57856,26
8703,O,H2O,CHEBI:15377,1
9598,O=C=O,CO2,CHEBI:16526,3
9740,O=O,O2,CHEBI:15379,2
9743,O=P(O)(O)O,phosphate,CHEBI:43474,5
9806,O=P(O)(O)OP(=O)(O)O,diphosphate,CHEBI:33019,9
10021,O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1,UDP,CHEBI:58223,25
10023,O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1,UDP-alpha-D-glucose,CHEBI:58885,36
10173,OO,H2O2,CHEBI:16240,2
10267,S,hydrogen sulfide,CHEBI:29919,1
